"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Surface area (sq. km)","AG.SRF.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","",
"Africa Eastern and Southern","AFE","Surface area (sq. km)","AG.SRF.TOTL.K2","","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15142775.114","15142774.169","15142743.93","15142711.599","15142728.542","15142740.862","15142735.451","15143014.029","15162080.533","15162048.412","15162034.958","15162088.541","15162075.92","15162070.283","15162076.383","15162080.118","15162038.871","",
"Afghanistan","AFG","Surface area (sq. km)","AG.SRF.TOTL.K2","","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","",
"Africa Western and Central","AFW","Surface area (sq. km)","AG.SRF.TOTL.K2","","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166260","9166260","",
"Angola","AGO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","",
"Albania","ALB","Surface area (sq. km)","AG.SRF.TOTL.K2","","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","",
"Andorra","AND","Surface area (sq. km)","AG.SRF.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","",
"Arab World","ARB","Surface area (sq. km)","AG.SRF.TOTL.K2","","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796828.9","13796838.9","13796848.9","13796848.9","13796858.9","13796868.9","13794328.9","13794330.9","13794335.9","13166528.9","13166340.9","13166221.9","13166229.9","13166230.9","13166231.9","13166231.9","13166232.9","13166234.9","",
"United Arab Emirates","ARE","Surface area (sq. km)","AG.SRF.TOTL.K2","","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","",
"Argentina","ARG","Surface area (sq. km)","AG.SRF.TOTL.K2","","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","",
"Armenia","ARM","Surface area (sq. km)","AG.SRF.TOTL.K2","","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","",
"American Samoa","ASM","Surface area (sq. km)","AG.SRF.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","",
"Antigua and Barbuda","ATG","Surface area (sq. km)","AG.SRF.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","",
"Australia","AUS","Surface area (sq. km)","AG.SRF.TOTL.K2","","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","",
"Austria","AUT","Surface area (sq. km)","AG.SRF.TOTL.K2","","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","",
"Azerbaijan","AZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","",
"Burundi","BDI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","27830","",
"Belgium","BEL","Surface area (sq. km)","AG.SRF.TOTL.K2","","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","33120","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","30530","",
